fclass,name,bridge,level,congestion,length
trunk,武汉大道,T,3,750,4910
primary,中南路,F,3,800,3485
primary,大智路,F,3,750,1606
primary,香港路,F,3,750,62
tertiary,解放公园路,F,1,600,427
primary,拦江路,F,3,750,80
trunk,武汉长江大桥,T,3,750,1946
secondary,首义路,F,2,700,11
tertiary,解放路,F,1,600,1151
primary,武珞路辅路,F,3,750,675
cycleway,江汉桥,T,0,500,2345
trunk,龟山南路,F,3,750,454
primary,友谊大道,F,3,750,11593
residential,张自忠路,F,0,500,457
secondary,临江大道,F,2,700,13676
tertiary,梅苑路,F,1,600,30
tertiary,姚家岭街,F,1,600,472
primary,中北路,F,3,750,6643
secondary,中南二路,F,2,700,1101
secondary,沙湖大道,F,2,700,7337
secondary,民主路,F,2,700,7478
secondary,知音大道,F,2,700,1861
tertiary,单洞三路,F,1,600,233
residential,武珞路六巷,F,0,500,623
tertiary,中南一路,F,1,600,759
tertiary,武珞路五巷,F,1,600,592
residential,舒家街,F,0,500,687
primary,长江隧道,F,3,750,365
tertiary,中华路,F,1,600,51
primary,中山路,F,3,750,6777
tertiary,昙华林,F,1,600,1224
tertiary,粮道街,F,1,600,1765
trunk,武珞路,F,3,750,4245
trunk,大东门立交,F,3,750,1398
tertiary,武昌路,F,1,600,369
primary,黄鹤楼东路,F,3,750,844
residential,胭脂路,F,0,500,1030
residential,火炬路,F,0,500,312
residential,红巷,F,0,500,385
residential,云架桥,F,0,500,613
primary,和平大道,F,3,750,10601
primary,鹦鹉大道,F,3,750,709
primary,解放大道,F,3,750,12299
secondary,京汉大道,F,2,700,11458
secondary,中山大道,F,2,700,12175
secondary,武胜路,F,2,700,1938
residential,球场横街,F,0,500,300
residential,交通路,F,0,500,221
secondary,民生路,F,2,700,872
residential,花楼街,F,0,500,1309
pedestrian,江汉路,F,0,500,970
primary,沿江大道,F,3,750,10851
unclassified,黄陂街,F,0,500,654
secondary,三民路,F,2,700,308
residential,统一街,F,0,500,1001
tertiary,民权路,F,1,600,928
primary,沙湖大桥,T,3,750,3230
tertiary,黄石路,F,1,600,949
residential,解放南路,F,0,500,1436
tertiary,前进路,F,1,600,1268
tertiary,四马路,F,1,600,307
secondary,公正路,F,2,700,4677
residential,紫沙路,F,0,500,1202
tertiary,东湖西路,F,1,600,805
tertiary,汉正街,F,1,600,1461
