time,count
2024-12-23 15:18:00,93
2024-12-23 15:23:00,85
2024-12-23 15:28:00,107
2024-12-23 15:33:00,87
2024-12-23 15:38:00,92
2024-12-23 15:43:00,91
2024-12-23 15:48:00,166
2024-12-23 15:53:00,129
2024-12-23 15:58:00,90
2024-12-23 16:03:00,106
2024-12-23 16:08:00,89
2024-12-23 16:13:00,103
2024-12-23 16:18:00,121
2024-12-23 16:23:00,117
2024-12-23 16:28:00,123
2024-12-23 16:33:00,80
2024-12-23 16:38:00,75
2024-12-23 16:43:00,112
2024-12-23 16:48:00,89
2024-12-23 16:53:00,114
2024-12-23 16:58:00,98
2024-12-23 17:03:00,94
2024-12-23 17:08:00,113
2024-12-23 17:13:00,52
2024-12-23 17:18:00,98
2024-12-23 17:23:00,114
2024-12-23 17:28:00,91
2024-12-23 17:33:00,119
2024-12-23 17:38:00,89
2024-12-23 17:43:00,105
