time,count
2024-12-23 15:21:00,120
2024-12-23 15:28:00,107
2024-12-23 15:33:00,87
2024-12-23 15:38:00,92
2024-12-23 15:43:00,91
2024-12-23 15:48:00,166
2024-12-23 15:53:00,129
2024-12-23 15:00:00,106
2024-12-23 16:08:00,179
2024-12-23 16:13:00,103
2024-12-23 16:18:00,121
2024-12-23 16:23:00,117
2024-12-23 16:43:00,112
2024-12-23 16:48:00,89
2024-12-23 16:53:00,114
2024-12-23 16:58:00,98
2024-12-23 17:08:00,113
2024-12-23 17:13:00,52
2024-12-23 17:28:00,91
2024-12-23 17:33:00,119
2024-12-23 17:38:00,89
2024-12-23 17:43:00,105
