time,京汉大道,江汉路
21-20-34,3,3
21-20-51,2,3
21-21-08,2,2
21-21-25,2,3
21-21-31,2,3
21-21-36,2,3
21-21-42,1,3
21-21-47,1,3
21-21-53,1,3
21-21-58,1,3
21-22-11,2,3
21-22-25,1,1
21-22-33,1,1
21-22-38,2,1
21-22-44,2,1
21-22-49,1,1
21-22-55,1,1
22-06-01,1,1
22-06-17,1,1
22-06-30,1,1
22-06-37,1,1
22-06-42,1,1
22-06-48,1,1
22-06-54,1,1
22-06-59,1,1
22-07-13,1,1
22-07-24,1,1
22-07-36,1,1
22-07-41,1,1
22-07-47,1,1
22-07-52,1,1
22-07-58,1,1
22-09-10,1,1
22-10-34,2,1
22-11-06,1,1
22-11-31,1,4
22-11-43,1,2
22-11-49,1,3
22-11-54,1,2
22-11-59,1,1
22-12-29,1,2
22-12-33,2,2
