name,time,distance,speed,status,trend
京汉大道,22-15-21,5140,11.08,3,持平
京汉大道,22-15-26,5400,10.19,3,持平
京汉大道,22-15-33,2540,6.62,4,加重
京汉大道,22-15-38,2890,7.31,3,加重
京汉大道,22-15-44,7770,10.9,3,缓解
京汉大道,22-15-49,7310,8.1,3,加重
京汉大道,22-15-54,2540,6.51,4,加重
京汉大道,22-16-00,5400,9.28,3,持平
京汉大道,22-16-08,4800,17.6,2,缓解
京汉大道,22-16-15,4800,12.6,3,持平
京汉大道,22-16-20,4800,13.1,3,持平
京汉大道,22-16-41,2170,12.97,3,缓解
京汉大道,22-16-47,4390,10.34,3,持平
京汉大道,22-16-53,7250,13.84,3,持平
京汉大道,22-16-58,1710,5.69,4,加重
京汉大道,22-17-06,1690,11.73,3,缓解
京汉大道,22-17-12,1690,11.73,3,加重
京汉大道,22-17-25,5400,10.64,3,加重
京汉大道,22-17-30,4060,10.15,3,持平
京汉大道,22-17-36,1710,4.57,4,加重
京汉大道,22-17-41,4030,14.75,2,缓解
