name,time,distance,speed,status,trend
京汉大道,23-07-14,1690,9.78,3,加重
京汉大道,23-07-14,1030,16.25,3,加重
解放大道,23-07-14,580,7.78,4,加重
解放大道,23-07-14,7250,7.98,4,加重
解放大道,23-07-14,1570,20.89,3,加重
解放大道,23-07-14,4600,23.83,2,缓解
解放公园路,23-07-14,590,1.76,4,加重
梅苑路,23-07-14,580,14.05,2,加重
沿江大道,23-07-14,610,15.31,2,加重
珞喻路,23-07-14,670,8.31,4,加重
武汉大道,23-07-14,540,12.82,4,加重
武汉大道,23-07-14,1720,17.29,4,持平
民主路,23-07-14,1500,12.51,3,加重
武珞路,23-07-14,990,8.42,4,加重
武珞路,23-07-14,1960,13.7,3,加重
粮道街,23-07-14,1350,3.23,4,加重
中山路,23-07-14,520,14.36,2,缓解
黄浦大街,23-07-14,810,10.48,4,加重
中山大道,23-07-14,1170,5.62,4,加重
和平大道,23-07-28,780,9.95,3,持平
京汉大道,23-07-28,1690,4.56,4,加重
京汉大道,23-07-28,740,8.91,4,加重
解放大道,23-07-28,960,1.81,4,加重
解放大道,23-07-28,970,11.66,3,持平
解放大道,23-07-28,1110,21.37,3,持平
解放大道,23-07-28,4840,21.58,2,持平
武胜路,23-07-28,1100,10.76,3,加重
沿江大道,23-07-28,740,4.03,4,加重
沿江大道,23-07-28,610,17.8,2,加重
万松园路,23-07-28,1040,6.91,4,持平
胭脂路,23-07-28,800,2.82,4,缓解
珞喻路,23-07-28,1090,7.87,4,持平
武汉大道,23-07-28,1880,15.38,4,持平
武汉大道,23-07-28,1580,18.41,3,缓解
武汉大道,23-07-28,3130,29.32,3,加重
武珞路,23-07-28,1240,10.2,3,持平
武珞路,23-07-28,2310,12.14,3,加重
粮道街,23-07-28,1070,3.14,4,持平
鹦鹉大道,23-07-28,1000,6.8,4,持平
中山路,23-07-28,550,28.11,2,加重
江汉桥,23-07-28,1080,10.9,3,加重
中山大道,23-07-28,770,10.29,3,加重
中山大道,23-07-28,1300,12.27,3,加重
中山大道,23-07-28,1400,12.09,3,缓解
友谊大道,23-07-28,520,1.24,4,持平
